Loss;Train_Accuracy;Validation_Accuracy
1.1197579383850098;0.35000000000000003;0.3333333333333333
1.0942444960276285;0.37933333333333336;0.40350877192982454
1.089601476987203;0.4606666666666667;0.45614035087719296
1.0811739524205526;0.4213333333333334;0.43859649122807015
1.0794474919637045;0.41933333333333334;0.38596491228070173
1.0819317181905113;0.41066666666666674;0.38596491228070173
1.0698291063308716;0.4173333333333333;0.43859649122807015
1.0790540138880413;0.4466666666666667;0.543859649122807
1.0595912059148154;0.4993333333333334;0.5614035087719298
1.0535313924153649;0.5086666666666667;0.42105263157894735
1.0526477734247843;0.5439999999999999;0.543859649122807
1.0504326184590658;0.5219999999999999;0.5263157894736842
1.0436490058898924;0.5393333333333332;0.42105263157894735
1.0412877639134726;0.4880000000000001;0.40350877192982454
1.0471928517023725;0.4860000000000001;0.42105263157894735
1.047047797838847;0.4813333333333334;0.45614035087719296
1.0323840220769247;0.5266666666666667;0.47368421052631576
1.0275749564170837;0.5426666666666666;0.5263157894736842
1.0329946200052897;0.49666666666666665;0.43859649122807015
1.0203844388326007;0.5373333333333334;0.5263157894736842
1.0209642370541891;0.5193333333333333;0.49122807017543857
1.014354399840037;0.5606666666666666;0.5087719298245614
1.0054025053977966;0.58;0.43859649122807015
1.010524829228719;0.5493333333333333;0.47368421052631576
1.0004666686058044;0.5666666666666668;0.5263157894736842
1.0073150078455606;0.5486666666666666;0.45614035087719296
1.001448710759481;0.5486666666666667;0.45614035087719296
0.9962055206298828;0.5486666666666666;0.5087719298245614
0.9954694310824076;0.5506666666666666;0.5087719298245614
0.9828125993410746;0.5566666666666666;0.5087719298245614
0.9974436203638712;0.5273333333333333;0.5263157894736842
0.9916577100753783;0.5506666666666666;0.45614035087719296
0.9845539967219032;0.5493333333333333;0.49122807017543857
0.983535885810852;0.5873333333333335;0.5087719298245614
0.9755021770795185;0.5873333333333333;0.543859649122807
0.9703879157702128;0.5893333333333335;0.47368421052631576
0.9749961535135906;0.5753333333333334;0.47368421052631576
0.9681470632553102;0.5519999999999999;0.543859649122807
0.9732273936271667;0.5646666666666667;0.5263157894736842
0.9599964896837869;0.5993333333333334;0.49122807017543857
0.9619063973426819;0.5806666666666667;0.543859649122807
0.9649482925732932;0.6013333333333333;0.543859649122807
0.9618635217348735;0.5886666666666666;0.49122807017543857
0.9526009480158487;0.6100000000000001;0.5263157894736842
0.958651773134867;0.5726666666666668;0.5263157894736842
0.9472471038500468;0.5966666666666667;0.543859649122807
0.9469958782196046;0.5993333333333334;0.5087719298245614
0.9475757916768393;0.5826666666666667;0.5087719298245614
0.9492432912190755;0.5926666666666667;0.49122807017543857
0.9422780791918437;0.606;0.5263157894736842
0.9359022776285808;0.58;0.5087719298245614
0.940038800239563;0.5813333333333335;0.47368421052631576
0.9302978873252871;0.6086666666666666;0.5087719298245614
0.9309895952542623;0.5960000000000001;0.5263157894736842
0.9408399422963462;0.5853333333333334;0.47368421052631576
0.9293614943822224;0.6099999999999999;0.5263157894736842
0.9287010471026103;0.602;0.5087719298245614
0.9261570612589517;0.61;0.45614035087719296
0.9218395074208579;0.5913333333333333;0.45614035087719296
0.9201532244682311;0.5966666666666667;0.5263157894736842
0.9262143452962239;0.5733333333333334;0.5263157894736842
0.9159412662188212;0.6026666666666666;0.47368421052631576
0.9223830421765646;0.6106666666666666;0.45614035087719296
0.9239818612734476;0.598;0.5263157894736842
0.9158894220987956;0.5786666666666667;0.49122807017543857
0.9168980439503989;0.598;0.47368421052631576
0.9032651066780091;0.6086666666666666;0.5087719298245614
0.9046533068021139;0.6179999999999999;0.47368421052631576
0.9093793869018554;0.6113333333333333;0.5087719298245614
0.89778680006663;0.6213333333333334;0.47368421052631576
0.9058137973149618;0.6146666666666665;0.49122807017543857
0.8951022426287334;0.6093333333333334;0.47368421052631576
0.9053391496340435;0.5980000000000001;0.49122807017543857
0.8961238265037538;0.63;0.5087719298245614
0.8971236228942872;0.6079999999999999;0.47368421052631576
0.9019650856653849;0.6193333333333333;0.5263157894736842
0.902729594707489;0.6046666666666667;0.45614035087719296
0.8921552062034608;0.6133333333333334;0.49122807017543857
0.8852043946584065;0.6213333333333333;0.49122807017543857
0.8912175019582113;0.6153333333333334;0.47368421052631576
