Loss;Train_Accuracy;Validation_Accuracy
78.3357652028;0.370000000795;1.0
23.8071902593;0.433333333333;0.0
22.5614178975;0.513333334128;0.0238095238095
5.87263409297;0.526666668256;0.0238095238095
2.36383167903;0.736666668256;0.0714285714286
0.96056441466;0.853333333333;0.190476190476
0.359213183324;0.883333333333;0.285714285714
0.290885895491;0.920000000795;0.214285714286
0.21900165081;0.956666668256;0.261904761905
0.192509705822;0.963333334128;0.261904761905
0.165917103489;0.98;0.261904761905
0.129445940256;0.983333333333;0.190476190476
0.0934895649552;0.983333333333;0.166666666667
0.0756571305295;0.986666666667;0.190476190476
0.0523637235165;0.996666666667;0.238095238095
0.0373534883062;1.0;0.285714285714
0.0296592128774;1.0;0.285714285714
0.0196760095035;1.0;0.333333333333
0.0146685239548;1.0;0.333333333333
0.0115494191026;1.0;0.309523809524
0.00868080944444;1.0;0.285714285714
0.00961444433779;1.0;0.285714285714
0.00572944339365;1.0;0.285714285714
0.00398330242994;1.0;0.309523809524
0.00320274801925;1.0;0.285714285714
0.00273458089214;1.0;0.309523809524
0.00242750300094;1.0;0.357142857143
0.00200770717735;1.0;0.357142857143
0.00180691760033;1.0;0.357142857143
0.0014099846206;1.0;0.309523809524
0.00123924191575;1.0;0.309523809524
0.000951703851266;1.0;0.357142857143
0.000796464970335;1.0;0.357142857143
0.00070841810278;1.0;0.357142857143
0.000529819022631;1.0;0.309523809524
0.000395669092541;1.0;0.357142857143
0.000302933389321;1.0;0.357142857143
0.000241121543998;1.0;0.309523809524
0.000206986156021;1.0;0.333333333333
0.000126575927425;1.0;0.357142857143
