Loss;Train_Accuracy;Validation_Accuracy
10.797117670377094;0.35;0.5714285771052042
1.074532280365626;0.39000000019868214;0.9285714228947958
1.084765076637268;0.36000000019868217;0.9285714228947958
1.0880032181739807;0.35333333373069764;0.9761904761904762
1.0889121691385906;0.36333333412806196;0.9761904761904762
1.0840598543485005;0.3633333349227905;0.9761904761904762
1.0834240516026814;0.38333333492279054;0.9761904761904762
1.077088713645935;0.3833333337306976;0.9761904761904762
1.0671558578809104;0.41;0.9285714228947958
1.0561478435993195;0.406666667064031;0.9285714228947958
1.0558563768863678;0.3800000007947286;0.9761904761904762
1.0603965918223064;0.39333333412806193;0.9285714228947958
1.0294430752595267;0.4533333341280619;0.8809523752757481
1.0625582734743753;0.39333333412806193;0.9285714228947958
1.066955288251241;0.3700000003973643;0.9761904761904762
1.0701377193133037;0.38666666825612384;0.9285714228947958
1.0517669518788657;0.41333333412806195;0.0
1.0254725913206737;0.4366666658719381;0.9285714228947958
0.992940068244934;0.44666666666666666;0.8571428514662243
0.9735082983970642;0.5033333333333333;0.8571428514662243
0.9572337567806243;0.5;0.9285714228947958
0.9538182020187378;0.5066666682561238;0.8095238123621259
0.9145451883474986;0.5466666666666666;0.8571428514662243
0.8665314316749573;0.553333334128062;0.7380952494485038
0.8496771057446797;0.5633333333333334;0.8809523837906974
0.8171630303064982;0.5966666682561239;0.8809523837906974
0.8436022500197092;0.6200000015894572;0.7142857199623471
0.7440946698188781;0.6500000015894571;0.6904761961528233
0.680361290772756;0.66;0.4523809552192688
0.7520752251148225;0.6466666674613952;0.6904761961528233
0.7073444525400797;0.6466666682561238;0.7380952494485038
0.7107374419768651;0.6833333349227906;0.5238095252286821
0.7076027393341064;0.5400000015894572;0.8809523837906974
1.017924209435781;0.6033333341280619;0.7380952494485038
0.7732613782087963;0.7000000007947286;0.5476190490382058
0.6322092314561207;0.7100000007947286;0.6190476190476191
0.6114557683467865;0.7066666682561239;0.5476190490382058
0.6039138933022817;0.7133333341280619;0.5714285728477296
0.5617354462544123;0.7300000015894572;0.5476190490382058
0.5476240515708923;0.7433333333333333;0.4523809552192688
